title,artist,year,date
Groom and horses from North Frieze of the Parthenon,NA,NA,NA
Standing Male Nude,John McNairn,NA,NA
Portrait of a Woman,Andrew Kidd,NA,NA
Portrait of a Man,Elizabeth Blackadder,NA,NA
Untitled,Amelia Smith,NA,NA
Boats and Collies,Ernest S. Lumsden,NA,NA
View of a Street,Calum Wilson,NA,NA
Child's collar. Chinese,Unknown,NA,NA
Abstract Landscape,Robert Euman,NA,NA
Fragment of ornament,Unknown,NA,NA
Unknown,Kathleen Russell,NA,NA
Opuntia Basilaris Engelmann and Bigelow 1856,Jane Watt,NA,NA
Untitled,Anne Weddell,NA,NA
Two Girls by the Harbour,John Bellany,NA,NA
Unknown,Unknown,NA,NA
Portrait of Seated Woman,Nicholas Patrick Reyntiens,NA,NA
Untitled,Margaret Lothian,NA,NA
Untitled,Unknown,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Bust of St. Joseph,C Pouzadoux,NA,NA
Untitled,S J Dooley,NA,NA
Untitled - Life Drawing of Skeletons,William O. Little,NA,NA
"Seated Fate, east pediment of the Parthenon",NA,NA,NA
Untitled,John Stewart,NA,NA
Untitled,David C Duke,NA,NA
'Gordini' Fairground Ride,Hazel Walker,NA,NA
Chinese spectacle case,Unknown,NA,NA
Unknown,Katherine Cowan,NA,NA
Untitled,Unknown,NA,NA
Big Top,Gillian Mather,NA,NA
From the Viking Age,Pavlov Chailly,NA,NA
Farm Building,Allison E Sharpe,NA,NA
"3,500 Men",Andrew Arnott,NA,NA
Portrait of a Man,Unknown,NA,NA
Life Painting,Anne Redpath,NA,NA
Studio Corner,Peter Scott,NA,NA
Felicity Who Went to Peru,Faye Banks,NA,NA
Still Life with Garden Fork,Alexander Moffat,NA,NA
On Italian Balcony,Muriel Davidson,NA,NA
Untitled - Nude Female Lying On a Patterned Bed,Kevin Maguire,NA,NA
Seated Male Nude,Rosemary Gray,NA,NA
Unknown,Heather Macdonald,NA,NA
Untitled - Portrait of A Woman,Tina-Marja Leppanen-Ritchie,NA,NA
Unknown,Kenneth R Duffy,NA,NA
Saucer,Emma Gillies,NA,NA
Teacup,Emma Gillies,NA,NA
Landscape,Brian Godley,NA,NA
Untitled - Children Playing,Monika L I Uecker,NA,NA
Untitled,Carol Handyside,NA,NA
Back of Bennachie,Hazel Holmes,NA,NA
Saucer,Emma Gillies,NA,NA
Unknown,Alan M. Alexander,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
Riders from West Frieze of the Parthenon,NA,NA,NA
Prendre la clef des Chaps,Ann F Ward,NA,NA
Drawing of a Seated Man,Eric Ritchie,NA,NA
Portrait of a Man,James Fairgrieve,NA,NA
Unknown,John W. Corner,NA,NA
Portrait of a Woman,Olivia Cochrane,NA,NA
Portrait of a Bearded Man,James Lennox,NA,NA
Isobel L Alexander sampler,Isobel L Alexander,NA,NA
Standing Man with Scythe,John Houston,NA,NA
Male Nude with Staff,Zygmunt Bukowski,NA,NA
Seated Female Nude,David Rifat,NA,NA
Unknown,Peter G. Collins,NA,NA
Reclining Male Nude,L Weir,NA,NA
Unknown,Esther Tacke,NA,NA
Unknown,James Bowman,NA,NA
Portrait of a Woman,Kenneth Dingwall,NA,NA
Untitled,Ian Hodkinson,NA,NA
Minoan Fertility Goddess Figurines,Daisy Silver,NA,NA
Italian quilting in frame,Unknown,NA,NA
Woodland #4,Asbjorn Hollerud,NA,NA
Untitled,Margaret Clyde,NA,NA
Untitled - Cubist Guitar Player,Ann F Ward,NA,NA
Legless Graham,Jennifer Blake,NA,NA
Reclining Male Nude,William J. Dungate,NA,NA
Dispersion,Alastair Clark,NA,NA
Study for picture 'Waking of Brynhildr',Pavlov Chailly,NA,NA
No 98,John Johnstone,NA,NA
Untitled,David Giblin,NA,NA
Portrait of a Seated Woman,John P Busby,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Man,Donald C S Shaw,NA,NA
Tskihrva,Boris Bućan,NA,NA
Small Portrait of a Woman in Brown,Polly A. Lister,NA,NA
Study for Mural - Industrial Unrest,R Callender,NA,NA
Hairy Veg,Eden Hawkins,NA,NA
Saucer,Emma Gillies,NA,NA
Untitled - Abstract Forest Landscape,Laura McPherson,NA,NA
Unknown,George Roderick Carmichael,NA,NA
Unknown,Alejandro B. Brasó,NA,NA
Untitled,Laurence Roche,NA,NA
Reclining Male Nude,Alex Sutherland,NA,NA
Bust of Queen Nefertiti,NA,NA,NA
Craigleith Island July '92,Delia M Surplice,NA,NA
Unttiled,Adam M Martin,NA,NA
Untitled,Robin Kukiel,NA,NA
Portrait of a Woman,Leszek Muszynski,NA,NA
Pair of sleeves,Unknown,NA,NA
Black Bodice,Anna Millar,NA,NA
Unknown,Richard Lovell,NA,NA
Three Views of a Standing Male Nude with hand on hip,John Thompson,NA,NA
Broderie Anglais jacket,Unknown,NA,NA
